,x_0,y_0,seed,learning_rate,minimizer,n_iter,did_converge,distance
75,-4.177808269321063,4.305620423886037,1005,0.1,RMSProp,63,True,0.016170222
76,-4.177808269321063,4.305620423886037,1005,0.1,SGD,29,False,
77,-4.177808269321063,4.305620423886037,1005,0.1,ADAM,64,True,0.045908555
78,-1.6307856642717553,1.008569437996548,1006,0.1,RMSProp,25,True,0.0070389896
79,-1.6307856642717553,1.008569437996548,1006,0.1,SGD,30,False,
80,-1.6307856642717553,1.008569437996548,1006,0.1,ADAM,46,True,0.04838652
81,-4.287750625391142,3.159803451779432,1007,0.1,RMSProp,64,True,0.009578353
82,-4.287750625391142,3.159803451779432,1007,0.1,SGD,29,False,
83,-4.287750625391142,3.159803451779432,1007,0.1,ADAM,113,True,0.011130867
84,-3.3274725094538127,3.130507477287791,1008,0.1,RMSProp,51,True,0.010238685
85,-3.3274725094538127,3.130507477287791,1008,0.1,SGD,29,False,
86,-3.3274725094538127,3.130507477287791,1008,0.1,ADAM,87,True,0.013513079
87,-4.434995379465607,-1.7308441232713823,1009,0.1,RMSProp,66,True,0.009306686
88,-4.434995379465607,-1.7308441232713823,1009,0.1,SGD,29,False,
89,-4.434995379465607,-1.7308441232713823,1009,0.1,ADAM,70,True,0.020437477
90,-4.050077170384277,0.35805731236843563,1010,0.1,RMSProp,62,True,0.03221586
91,-4.050077170384277,0.35805731236843563,1010,0.1,SGD,29,False,
92,-4.050077170384277,0.35805731236843563,1010,0.1,ADAM,61,True,0.009028497
93,-2.158751596495634,0.6332353550939551,1011,0.1,RMSProp,34,True,0.0073530404
94,-2.158751596495634,0.6332353550939551,1011,0.1,SGD,30,False,
95,-2.158751596495634,0.6332353550939551,1011,0.1,ADAM,59,True,0.018004911
96,-1.9367951672936101,2.8064668437799236,1012,0.1,RMSProp,36,True,0.06499306
97,-1.9367951672936101,2.8064668437799236,1012,0.1,SGD,30,False,
98,-1.9367951672936101,2.8064668437799236,1012,0.1,ADAM,78,True,0.015023862
99,2.944929153061878,-4.210205284257439,1013,0.1,RMSProp,55,True,0.06877518
100,2.944929153061878,-4.210205284257439,1013,0.1,SGD,29,False,
101,2.944929153061878,-4.210205284257439,1013,0.1,ADAM,106,True,0.020619486
102,-0.6447599837720013,0.8570230530041458,1014,0.1,RMSProp,7,True,0.046222884
103,-0.6447599837720013,0.8570230530041458,1014,0.1,SGD,30,False,
104,-0.6447599837720013,0.8570230530041458,1014,0.1,ADAM,50,True,0.04526919
105,-1.4009706476594186,1.0706782860736528,1015,0.1,RMSProp,20,True,0.009732858
106,-1.4009706476594186,1.0706782860736528,1015,0.1,SGD,30,False,
107,-1.4009706476594186,1.0706782860736528,1015,0.1,ADAM,62,True,0.0358563
108,-2.7200840328781464,-0.5730600890568862,1016,0.1,RMSProp,42,True,0.009909509
109,-2.7200840328781464,-0.5730600890568862,1016,0.1,SGD,29,False,
110,-2.7200840328781464,-0.5730600890568862,1016,0.1,ADAM,35,True,0.015964532
111,4.183517543102761,3.213318736338147,1017,0.1,RMSProp,63,True,0.008547054
112,4.183517543102761,3.213318736338147,1017,0.1,SGD,29,False,
113,4.183517543102761,3.213318736338147,1017,0.1,ADAM,110,True,0.014803803
114,0.9397544918868928,-0.45040924304891305,1018,0.1,RMSProp,12,True,0.007294568
115,0.9397544918868928,-0.45040924304891305,1018,0.1,SGD,30,False,
116,0.9397544918868928,-0.45040924304891305,1018,0.1,ADAM,30,True,0.019224279
117,-2.8307314139340845,-1.0400495210627705,1019,0.1,RMSProp,44,True,0.008908528
118,-2.8307314139340845,-1.0400495210627705,1019,0.1,SGD,29,False,
119,-2.8307314139340845,-1.0400495210627705,1019,0.1,ADAM,75,True,0.018600341
120,0.21385737975062735,1.038418470063296,1000,0.01,RMSProp,108,True,0.06776334
121,0.21385737975062735,1.038418470063296,1000,0.01,SGD,10001,False,0.21385738
122,0.21385737975062735,1.038418470063296,1000,0.01,ADAM,158,True,0.07028369
123,1.1259492856995088,-4.842995321796685,1001,0.01,RMSProp,505,True,0.059573393
124,1.1259492856995088,-4.842995321796685,1001,0.01,SGD,10001,False,1.1259493
125,1.1259492856995088,-4.842995321796685,1001,0.01,ADAM,1072,True,0.0705565
126,-1.191788405168841,-1.4281066232905304,1002,0.01,RMSProp,150,True,0.0686983
127,-1.191788405168841,-1.4281066232905304,1002,0.01,SGD,10001,False,1.1917884
128,-1.191788405168841,-1.4281066232905304,1002,0.01,ADAM,275,True,0.039341006
129,-3.122426317313666,-2.432941897811779,1003,0.01,RMSProp,345,True,0.0085172495
130,-3.122426317313666,-2.432941897811779,1003,0.01,SGD,10001,False,3.1224258
131,-3.122426317313666,-2.432941897811779,1003,0.01,ADAM,844,True,0.009976274
132,-4.99119547259285,-3.6984868787236858,1004,0.01,RMSProp,536,True,0.010212581
133,-4.99119547259285,-3.6984868787236858,1004,0.01,SGD,10001,False,4.9911957
134,-4.99119547259285,-3.6984868787236858,1004,0.01,ADAM,1393,True,0.009961438
135,-4.177808269321063,4.305620423886037,1005,0.01,RMSProp,454,True,0.04330408
136,-4.177808269321063,4.305620423886037,1005,0.01,SGD,10001,False,4.1778083
137,-4.177808269321063,4.305620423886037,1005,0.01,ADAM,1159,True,0.016581183
138,-1.6307856642717553,1.008569437996548,1006,0.01,RMSProp,189,True,0.0095187975
139,-1.6307856642717553,1.008569437996548,1006,0.01,SGD,10001,False,1.6307855
140,-1.6307856642717553,1.008569437996548,1006,0.01,ADAM,398,True,0.009835131
141,-4.287750625391142,3.159803451779432,1007,0.01,RMSProp,464,True,0.011957789
142,-4.287750625391142,3.159803451779432,1007,0.01,SGD,10001,False,4.2877507
143,-4.287750625391142,3.159803451779432,1007,0.01,ADAM,1189,True,0.009968032
144,-3.3274725094538127,3.130507477287791,1008,0.01,RMSProp,366,True,0.008670888
145,-3.3274725094538127,3.130507477287791,1008,0.01,SGD,10001,False,3.3274724
146,-3.3274725094538127,3.130507477287791,1008,0.01,ADAM,906,True,0.011117992
147,-4.434995379465607,-1.7308441232713823,1009,0.01,RMSProp,479,True,0.010599992
148,-4.434995379465607,-1.7308441232713823,1009,0.01,SGD,10001,False,4.434995
149,-4.434995379465607,-1.7308441232713823,1009,0.01,ADAM,1232,True,0.009966141
150,-4.050077170384277,0.35805731236843563,1010,0.01,RMSProp,440,True,0.0101337535
151,-4.050077170384277,0.35805731236843563,1010,0.01,SGD,10001,False,4.050077
152,-4.050077170384277,0.35805731236843563,1010,0.01,ADAM,1119,True,0.009992889
153,-2.158751596495634,0.6332353550939551,1011,0.01,RMSProp,245,True,0.00996075
154,-2.158751596495634,0.6332353550939551,1011,0.01,SGD,10001,False,2.1587515
155,-2.158751596495634,0.6332353550939551,1011,0.01,ADAM,555,True,0.009967937
156,-1.9367951672936101,2.8064668437799236,1012,0.01,RMSProp,294,True,0.07039933
157,-1.9367951672936101,2.8064668437799236,1012,0.01,SGD,10001,False,1.9367949
158,-1.9367951672936101,2.8064668437799236,1012,0.01,ADAM,573,True,0.0684644
159,2.944929153061878,-4.210205284257439,1013,0.01,RMSProp,442,True,0.052576464
160,2.944929153061878,-4.210205284257439,1013,0.01,SGD,10001,False,2.9449291
161,2.944929153061878,-4.210205284257439,1013,0.01,ADAM,919,True,0.06898824
162,-0.6447599837720013,0.8570230530041458,1014,0.01,RMSProp,88,True,0.0670432
163,-0.6447599837720013,0.8570230530041458,1014,0.01,SGD,10001,False,0.6447599
164,-0.6447599837720013,0.8570230530041458,1014,0.01,ADAM,124,True,0.062762044
165,-1.4009706476594186,1.0706782860736528,1015,0.01,RMSProp,165,True,0.008756577
166,-1.4009706476594186,1.0706782860736528,1015,0.01,SGD,10001,False,1.4009707
167,-1.4009706476594186,1.0706782860736528,1015,0.01,ADAM,330,True,0.0098286
168,-2.7200840328781464,-0.5730600890568862,1016,0.01,RMSProp,303,True,0.01051347
169,-2.7200840328781464,-0.5730600890568862,1016,0.01,SGD,10001,False,2.720084
170,-2.7200840328781464,-0.5730600890568862,1016,0.01,ADAM,724,True,0.009903065
171,4.183517543102761,3.213318736338147,1017,0.01,RMSProp,453,True,0.010600784
172,4.183517543102761,3.213318736338147,1017,0.01,SGD,10001,False,4.1835175
173,4.183517543102761,3.213318736338147,1017,0.01,ADAM,1159,True,0.009926025
174,0.9397544918868928,-0.45040924304891305,1018,0.01,RMSProp,115,True,0.0084716715
175,0.9397544918868928,-0.45040924304891305,1018,0.01,SGD,10001,False,0.9397545
176,0.9397544918868928,-0.45040924304891305,1018,0.01,ADAM,196,True,0.009790877
177,-2.8307314139340845,-1.0400495210627705,1019,0.01,RMSProp,315,True,0.00973713
178,-2.8307314139340845,-1.0400495210627705,1019,0.01,SGD,10001,False,2.8307314
179,-2.8307314139340845,-1.0400495210627705,1019,0.01,ADAM,757,True,0.009927505
180,0.21385737975062735,1.038418470063296,1000,0.001,RMSProp,983,True,0.069931775
181,0.21385737975062735,1.038418470063296,1000,0.001,SGD,671,True,0.07053239
182,0.21385737975062735,1.038418470063296,1000,0.001,ADAM,1661,True,0.07062098
183,1.1259492856995088,-4.842995321796685,1001,0.001,RMSProp,4801,True,0.07036004
184,1.1259492856995088,-4.842995321796685,1001,0.001,SGD,1055,True,0.07058556
185,1.1259492856995088,-4.842995321796685,1001,0.001,ADAM,7438,True,0.07068859
